企業コード,業種,企業名,2018売上,2018営業利益,2018当期利益,2018基本的1株当たり当期利益,2019売上,2019営業利益,2019当期利益,2019基本的1株当たり当期利益,2020売上,2020営業利益,2020当期利益,2020基本的1株当たり当期利益,2021売上,2021営業利益,2021当期利益,2021基本的1株当たり当期利益,20201株当たりの当期純利益,2020PER,20201株当たりの純資産,2020PBR,2020ROA,2020ROE,2020自己資本比率,2020配当性向,2020営業CF,2020投資CF,2020財務CF,20211株当たりの当期純利益,2021PER,20211株当たりの純資産,2021PBR,2021ROA,2021ROE,2021自己資本比率,2021配当性向,2021営業CF,2021投資CF,2021財務CF,短信決算発表日,決算月,2020配当利回り,2021配当利回り,中間配当,期末配当,中間配当権利付き最終日,中間配当基準日,期末配当権利付き最終日,期末配当基準日,専門家予想,みんなの予想
7267,自動車,ホンダ,"15,361,146","833,558","1,128,639",590.79,"15,888,617","726,370","676,286",345.99,"14,931,009","633,637","509,932",260.13,"13,170,519","660,208","695,444",380.75,212.91,,"1,285.77",,2.23,5.6,71.0,43.1,"979,415","△619,481","△87,411",216.24,,"1,430.91",,3,7.69,73.0,28.9,"1,072,379","△796,881","△283,980",2021/5/14,3.0,3.91,3.94,55.0,80.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,8,1
7205,自動車,日野自,"1,837,982","80,331","51,361",89.52,"1,981,331","86,717","54,908",95.66,"1,815,597","54,859","31,467",54.82,"1,498,442","12,250","△7,489",△13.05,48.54,,718.26,,2.47,5.8,50.7,36.5,"95,176","△67,006","△28,243",4.93,,734.01,,△0.61,△1.37,52.0,△91.95,"108,429","△56,211","△38,408",2021/4/27,3.0,2.12,1.48,10.0,7.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,10
7270,自動車,SUBARU,"3,232,695","379,447","220,354",287.4,3160514,195529,147812,192.78,"3,344,109","210,319","152,591",198.99,"2,830,210","102,468","77,320",99.77,41.6,,"1,345.78",,4.63,8.99,47.9,50.3,"210,134","△25,844","△15,818",△50.38,,"1,247.59",,2.24,4.38,42.9,56.1,"289,376","△272,174","13,966",2021/5/11,3.0,3.64,2.6,28.0,28.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,10,4
7261,自動車,マツダ,"3,474,024","146,421","112,057",182.93,"3,564,696","83,013","63,476",100.79,"3,430,285","43,603","12,131",19.26,"2,882,066","8,820","△31,651",△50.26,△37.90,,"1,590.25",,0.44,1.02,47.9,181.7,"34,834","△127,578","△24,274",△56.86,,"1,533.24",,△1.08,△2.69,41.8,0,"120,058","△78,862","99,348",2021/5/14,3.0,3.5,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,4,7
7211,自動車,三菱自,"2,192,389","98,201","107,619",72.23,"2,514,594","111,815","132,871",89.26,2270276,12788,△25779,△17.32,1455476,△95321,△312317,△209.88,△4.73,,369.39,,△1.33,△3.14,50.3,△57.73,18786,△105712,9624,△183.73,,186.15,,△16.82,△48.78,28.1,0,△41537,△101323,168291,2021/5/11,3.0,2.1,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,6
7202,自動車,いすゞ,"2,070,359","166,765","105,663",134.17,"2,149,168","176,781","113,444",150.18,"2,079,936","140,582","81,232",110.14,"1,908,150","95,732","42,708",57.91,96.21,,818.89,,3.77,8.63,58.6,34.5,"123,701","△92,659","△25,153",66.81,,891.79,,1.9,4.33,58.9,51.8,"222,918","△93,413","△55,275",2021/5/13,3.0,3.13,3.06,29.0,20.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,2,10
7269,自動車,スズキ,"3,757,219","374,182","215,730",488.86,"3,871,496","324,365","178,759",395.26,"3,488,433","215,069","134,222",286.36,"3,178,209","194,432","146,421",301.65,166.62,,"1,443.33",,4.02,9.32,38.8,29.7,"171,533","△296,989","80,708",165.67,,"1,577.60",,3.63,9.22,33.7,29.8,"415,439","△232,985","302,633",2021/5/13,3.0,1.83,2.05,45.0,53.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,2,3
7203,自動車,トヨタ,"29,379,510","2,399,862","2,493,983",842,"30,225,681","2,467,545","1,882,873",650.55,"29,866,547","2,399,232","2,111,125",727.47,"27,214,594","2,197,748","2,282,378",803.23,504.25,,"4,377.19",,3.77,10.19,70.7,30.2,"2,398,496","△2,124,650","362,805",582.8,,"4,797.77",,3.61,10.2,65.5,29.8,"2,727,162","△4,684,175","2,739,174",2021/5/12,3.0,3.07,3.32,120.0,135.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,10,10
7272,自動車,ヤマハ発,"1,670,090","149,782","101,603",290.93,"1,673,137","140,787","93,366",267.35,"1,664,764","115,364","75,736",216.83,"1,471,298","81,672","53,072",151.89,167.94,,"1,253.64",,4.94,11.12,67.5,41.5,"99,127","△79,662","△36,760",80.27,,"1,284.61",,3.23,7.48,57.6,39.5,"110,487","△43,950","83,668",2021/2/12,12.0,3.52,4.06,50.0,65.0,2021/6/27,2021/6/30,2021/12/28,2021/12/31,9,10
7201,自動車,日産自,"11,951,169","574,760","746,892",190.96,"11,574,247","318,224","319,138",81.59,"9,878,866","△40,469","△671,216",△171.54,"7,862,572","△150,651","△448,697",△114.67,△81.76,,"1,038.95",,△3.95,△14.33,23.9,△5.82,"1,185,854","△708,687","△155,494",△17.32,,"1,007.80",,△2.73,△11.20,24.0,0,"1,322,789","△369,121","△639,692",2021/5/11,3.0,1.46,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,6,5
